2018-11-14 16:50:41 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:38:22 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:38:22 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:38:22 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:38:22 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:38:22 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:41:28 | DEBUG    | Application version: 0.5
2018-11-14 17:41:28 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:41:28 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:41:28 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:41:28 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:41:28 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:41:28 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:42:49 | DEBUG    | Application version: 0.5
2018-11-14 17:42:49 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:42:49 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:42:49 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:42:49 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:42:49 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:42:49 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:43:00 | DEBUG    | Application version: 0.5
2018-11-14 17:43:00 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:43:00 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:43:00 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:43:00 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:43:00 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:43:00 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:55:21 | DEBUG    | Application version: 0.5
2018-11-14 17:55:21 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:55:21 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:55:21 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:55:21 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:55:21 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:55:21 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:55:29 | DEBUG    | Application version: 0.5
2018-11-14 17:55:29 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:55:29 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:55:29 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:55:29 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:55:29 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:55:29 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:57:00 | DEBUG    | Application version: 0.5
2018-11-14 17:57:00 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:57:00 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:57:00 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:57:00 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:57:00 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:57:00 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:57:33 | DEBUG    | Application version: 0.5
2018-11-14 17:57:33 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 17:57:33 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 17:57:33 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:57:33 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:57:33 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 17:57:33 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 17:57:33 | INFO     | Suche Medium in /run/media/anke
2018-11-14 17:57:33 | INFO     | Suche in Endless Trash
2018-11-14 17:57:33 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 17:57:33 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 17:57:34 | INFO     | Suche Medium in /run/media/anke
2018-11-14 17:57:34 | INFO     | Suche in Endless Trash
2018-11-14 17:57:34 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 17:57:34 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:13 | DEBUG    | Application version: 0.5
2018-11-14 18:15:13 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:15:13 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:15:13 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:15:13 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:13 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:15:13 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:15:13 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:15:13 | INFO     | Suche in Endless Trash
2018-11-14 18:15:13 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:15:13 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:13 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:15:14 | INFO     | Suche in Endless Trash
2018-11-14 18:15:14 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:15:14 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:46 | DEBUG    | Application version: 0.5
2018-11-14 18:15:46 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:15:46 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:15:46 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:15:46 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:46 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:15:46 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:15:46 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:15:46 | INFO     | Suche in Endless Trash
2018-11-14 18:15:46 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:15:46 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:15:46 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:15:47 | INFO     | Suche in Endless Trash
2018-11-14 18:15:47 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:15:47 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:18:41 | DEBUG    | Application version: 0.5
2018-11-14 18:18:41 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:18:41 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:18:41 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:18:41 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:18:41 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:18:41 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:18:42 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:18:42 | INFO     | Suche in Endless Trash
2018-11-14 18:18:42 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:18:42 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:18:42 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:18:42 | INFO     | Suche in Endless Trash
2018-11-14 18:18:42 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:18:42 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:27:30 | DEBUG    | Application version: 0.5
2018-11-14 18:27:30 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:27:30 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:27:30 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:27:30 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:27:30 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:27:30 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:27:30 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:27:30 | INFO     | Suche in Endless Trash
2018-11-14 18:27:30 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:27:30 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:27:31 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:27:31 | INFO     | Suche in Endless Trash
2018-11-14 18:27:31 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:27:31 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:29:12 | DEBUG    | Application version: 0.5
2018-11-14 18:29:12 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:29:12 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:29:12 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:29:12 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:29:12 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:29:12 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:29:12 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:29:12 | INFO     | Suche in Endless Trash
2018-11-14 18:29:12 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:29:12 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:29:12 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:29:12 | INFO     | Suche in Endless Trash
2018-11-14 18:29:13 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:29:13 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:29:59 | DEBUG    | Application version: 0.5
2018-11-14 18:29:59 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:29:59 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:29:59 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:29:59 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:29:59 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:29:59 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:30:00 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:30:00 | INFO     | Suche in Endless Trash
2018-11-14 18:30:00 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:30:00 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:30:00 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:30:00 | INFO     | Suche in Endless Trash
2018-11-14 18:30:00 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:30:00 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:31:06 | DEBUG    | Application version: 0.5
2018-11-14 18:31:06 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:31:06 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:31:06 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:31:06 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:31:06 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:31:06 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:31:07 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:31:07 | INFO     | Suche in Endless Trash
2018-11-14 18:31:07 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:31:07 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:31:07 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:31:07 | INFO     | Suche in Endless Trash
2018-11-14 18:31:07 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:31:07 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:32:58 | DEBUG    | Application version: 0.5
2018-11-14 18:32:58 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:32:58 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:32:58 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:32:58 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:32:58 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:32:58 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:32:58 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:32:58 | INFO     | Suche in Endless Trash
2018-11-14 18:32:58 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:32:58 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:32:59 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:32:59 | INFO     | Suche in Endless Trash
2018-11-14 18:32:59 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:32:59 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:35:34 | DEBUG    | Application version: 0.5
2018-11-14 18:35:34 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:35:34 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:35:34 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:35:34 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:35:34 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:35:34 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:35:46 | DEBUG    | Application version: 0.5
2018-11-14 18:35:46 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:35:46 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:35:46 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:35:46 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:35:46 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:35:46 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:35:46 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:35:46 | INFO     | Suche in Endless Trash
2018-11-14 18:35:46 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:35:46 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:35:46 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:35:46 | INFO     | Suche in Endless Trash
2018-11-14 18:35:46 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:35:47 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:38:14 | DEBUG    | Application version: 0.5
2018-11-14 18:38:14 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:38:14 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:38:14 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:38:14 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:38:14 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:38:14 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:38:15 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:38:15 | INFO     | Suche in Endless Trash
2018-11-14 18:38:15 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:38:15 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:38:15 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:38:15 | INFO     | Suche in Endless Trash
2018-11-14 18:38:15 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:38:15 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:23 | DEBUG    | Application version: 0.5
2018-11-14 18:41:23 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:41:23 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:41:23 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:41:23 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:23 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:41:23 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:41:24 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:41:24 | INFO     | Suche in Endless Trash
2018-11-14 18:41:24 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:41:24 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:24 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:41:24 | INFO     | Suche in Endless Trash
2018-11-14 18:41:24 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:41:24 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:58 | DEBUG    | Application version: 0.5
2018-11-14 18:41:58 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:41:58 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:41:58 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:41:58 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:58 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:41:58 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:41:58 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:41:58 | INFO     | Suche in Endless Trash
2018-11-14 18:41:58 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:41:58 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:41:59 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:41:59 | INFO     | Suche in Endless Trash
2018-11-14 18:41:59 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:41:59 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:43:03 | DEBUG    | Application version: 0.5
2018-11-14 18:43:03 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:43:03 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:43:03 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:43:03 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:43:03 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:43:03 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:43:04 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:43:04 | INFO     | Suche in Endless Trash
2018-11-14 18:43:04 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:43:04 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:43:04 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:43:04 | INFO     | Suche in Endless Trash
2018-11-14 18:43:04 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:43:04 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:43:04 | INFO     | Application terminated on window close button. Bye.
2018-11-14 18:46:40 | DEBUG    | Application version: 0.5
2018-11-14 18:46:40 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:46:40 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:46:40 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:46:40 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:46:40 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:46:40 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:46:40 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:46:40 | INFO     | Suche in Endless Trash
2018-11-14 18:46:41 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:46:41 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:46:41 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:46:41 | INFO     | Suche in Endless Trash
2018-11-14 18:46:41 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:46:41 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:46:41 | INFO     | Application terminated on window close button. Bye.
2018-11-14 18:49:19 | DEBUG    | Application version: 0.5
2018-11-14 18:49:19 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:49:19 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:49:19 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:49:19 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:49:19 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:49:19 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:49:19 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:49:19 | INFO     | Suche in Endless Trash
2018-11-14 18:49:19 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:49:19 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:49:19 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:49:20 | INFO     | Suche in Endless Trash
2018-11-14 18:49:20 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:49:20 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:51:37 | DEBUG    | Application version: 0.5
2018-11-14 18:51:37 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:51:37 | DEBUG    | Application executed from /home/anke/Git/gpt
2018-11-14 18:51:37 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:51:37 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:51:37 | DEBUG    | Nachricht konnte nicht in der Statusbar eingeblendet werden.
2018-11-14 18:51:37 | INFO     | Arbeitsverzeichnis: /home/anke/Actioncam
2018-11-14 18:51:37 | INFO     | Application terminated on window close button. Bye.
2018-11-14 18:51:37 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:51:37 | INFO     | Suche in Endless Trash
2018-11-14 18:51:38 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:51:38 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:51:38 | INFO     | Suche Medium in /run/media/anke
2018-11-14 18:51:38 | INFO     | Suche in Endless Trash
2018-11-14 18:51:38 | INFO     | Gerät wird nicht unterstützt.
2018-11-14 18:51:38 | INFO     | Wechsele ins Verzeichnis /home/anke/Actioncam
2018-11-14 18:52:12 | DEBUG    | Application version: 0.5
2018-11-14 18:52:12 | DEBUG    | GTK+ version: 3.24.1
2018-11-14 18:52:12 | DEBUG    | Application executed from /home/anke/Git/gpt
